iter	Passed	Remaining
0	58	58214
1	58	29352
2	59	19676
3	59	14827
4	60	11945
5	60	9998
6	60	8607
7	61	7568
8	61	6755
9	61	6102
10	61	5570
11	62	5126
12	62	4752
13	62	4431
14	63	4153
15	63	3909
16	63	3694
17	64	3508
18	64	3337
19	64	3182
20	65	3042
21	65	2914
22	65	2797
23	66	2689
24	66	2591
25	66	2501
26	67	2418
27	67	2339
28	67	2267
29	68	2199
30	68	2135
31	68	2075
32	68	2020
33	69	1969
34	69	1919
35	69	1872
36	70	1830
37	70	1790
38	71	1751
39	71	1713
40	71	1677
41	72	1642
42	72	1609
43	72	1577
44	72	1547
45	73	1518
46	73	1491
47	73	1464
48	74	1438
49	74	1413
50	74	1390
51	74	1366
52	75	1344
53	75	1323
54	75	1302
55	76	1282
56	76	1263
57	76	1245
58	76	1227
59	77	1210
60	77	1194
61	77	1177
62	78	1163
63	78	1148
64	78	1133
65	79	1119
66	79	1105
67	79	1091
68	79	1078
69	80	1065
70	80	1053
71	80	1041
72	81	1030
73	81	1018
74	81	1006
75	81	995
76	82	986
77	82	978
78	83	967
79	83	958
80	83	951
81	84	941
82	84	930
83	84	921
84	84	911
85	85	903
86	85	895
87	85	887
88	85	879
89	86	871
90	86	864
91	86	857
92	87	850
93	87	843
94	87	837
95	88	830
96	88	823
97	88	817
98	89	811
99	89	804
100	89	798
101	89	792
102	90	785
103	90	779
104	90	773
105	91	767
106	91	761
107	91	756
108	91	750
109	92	745
110	92	739
111	92	734
112	92	728
113	93	723
114	93	718
115	93	713
116	93	707
117	94	703
118	94	698
119	94	693
120	94	689
121	95	684
122	95	679
123	95	675
124	95	671
125	96	667
126	96	663
127	96	659
128	97	655
129	97	651
130	97	647
131	97	643
132	98	639
133	98	635
134	98	632
135	98	628
136	99	625
137	99	621
138	99	618
139	100	614
140	100	611
141	100	606
142	100	603
143	100	600
144	101	597
145	101	594
146	101	590
147	102	587
148	102	585
149	102	582
150	103	579
151	103	576
152	103	573
153	103	570
154	104	567
155	104	564
156	104	562
157	104	559
158	105	556
159	105	554
160	105	550
161	105	548
162	106	545
163	106	542
164	106	540
165	107	537
166	107	535
167	107	532
168	107	530
169	108	527
170	108	525
171	108	522
172	108	520
173	109	518
174	109	516
175	109	514
176	110	511
177	110	509
178	110	507
179	111	506
180	111	504
181	111	501
182	111	499
183	112	497
184	112	495
185	112	493
186	112	491
187	113	489
188	113	487
189	113	485
190	114	483
191	114	481
192	114	479
193	114	476
194	115	475
195	115	473
196	115	471
197	115	469
198	116	468
199	116	466
200	116	464
201	117	462
202	117	460
203	117	459
204	117	457
205	118	455
206	118	453
207	118	452
208	119	450
209	119	448
210	119	447
211	119	445
